
sensor,date,time,Density,Flow,Speed,
S62,2013/01/01,12:30 AM,4.888708,678.0,70.78181,
S62,2013/01/01,1 AM,8.80657,1216.0,70.02538,
S62,2013/01/01,1:30 AM,7.9943833,1094.0,69.04773,
S62,2013/01/01,2 AM,5.628406,786.0,70.322044,
S62,2013/01/01,2:30 AM,5.059502,696.0,69.8984,
S62,2013/01/01,3 AM,4.313345,578.0,71.902016,
S62,2013/01/01,3:30 AM,3.242617,456.0,71.88244,
S62,2013/01/01,4 AM,1.9828775,276.0,72.961815,
S62,2013/01/01,4:30 AM,2.2497468,306.0,70.58529,
S62,2013/01/01,5 AM,1.8892777,264.0,72.17648,
S62,2013/01/01,5:30 AM,1.7062277,234.0,71.53529,
S62,2013/01/01,6 AM,2.221235,290.0,71.181854,
S62,2013/01/01,6:30 AM,2.584028,376.0,77.72178,
S62,2013/01/01,7 AM,3.5913134,506.0,72.85154,
S62,2013/01/01,7:30 AM,3.1030056,428.0,71.66466,
S62,2013/01/01,8 AM,4.7778716,674.0,73.83891,
S62,2013/01/01,8:30 AM,4.7087026,650.0,70.16573,
S62,2013/01/01,9 AM,5.0057993,730.0,73.15805,
S62,2013/01/01,9:30 AM,5.905609,838.0,72.91182,
S62,2013/01/01,10 AM,7.2876263,1056.0,74.307106,
S62,2013/01/01,10:30 AM,9.281198,1322.0,71.93651,
S62,2013/01/01,11 AM,9.454771,1368.0,73.225685,
S62,2013/01/01,11:30 AM,10.716557,1534.0,72.55948,
S62,2013/01/01,Noon,11.835052,1712.0,73.11392,
S62,2013/01/01,12:30 PM,12.354461,1744.0,71.1897,
S62,2013/01/01,1 PM,12.59329,1816.0,72.80216,
S62,2013/01/01,1:30 PM,12.424998,1798.0,72.8716,
S62,2013/01/01,2 PM,13.867565,1946.0,70.888824,
S62,2013/01/01,2:30 PM,13.398103,1882.0,71.07853,
S62,2013/01/01,3 PM,14.186784,2012.0,71.5988,
S62,2013/01/01,3:30 PM,14.012479,1998.0,72.169754,
S62,2013/01/01,4 PM,12.962928,1848.0,72.20115,
S62,2013/01/01,4:30 PM,13.476966,1900.0,71.12377,
S62,2013/01/01,5 PM,12.651942,1744.0,70.01787,
S62,2013/01/01,5:30 PM,12.806551,1742.0,69.15284,
S62,2013/01/01,6 PM,12.579357,1716.0,69.24856,
S62,2013/01/01,6:30 PM,12.403708,1716.0,69.74439,
S62,2013/01/01,7 PM,12.396817,1706.0,70.036865,
S62,2013/01/01,7:30 PM,10.730516,1476.0,70.01467,
