sensor,date,time,Density,Flow,Speed
S1816,01/01/2013,12:30 am,6.763332,1486,60.60694
S1816,01/01/2013,1:00 am,11.034446,2410,61.45139
S1816,01/01/2013,1:30 am,10.012775,2244,62.008335
S1816,01/01/2013,2:00 am,8.974443,1978,62.22361
S1816,01/01/2013,2:30 am,7.9116664,1764,61.71944
S1816,01/01/2013,3:00 am,6.411668,1438,61.572224
S1816,01/01/2013,3:30 am,5.139444,1118,61.393055
S1816,01/01/2013,4:00 am,4.1555552,942,62.036114
S1816,01/01/2013,4:30 am,2.7933338,622,61.091957
S1816,01/01/2013,5:00 am,2.3133328,508,61.367287
S1816,01/01/2013,5:30 am,2.5433335,554,61.47424
S1816,01/01/2013,6:00 am,2.4677775,560,61.257576
S1816,01/01/2013,6:30 am,3.0981817,642,62.394657
S1816,01/01/2013,7:00 am,3.5872226,784,62.050285
S1816,01/01/2013,7:30 am,3.1183336,688,60.9435
S1816,01/01/2013,8:00 am,4.217222,966,62.856945
S1816,01/01/2013,8:30 am,4.361111,1014,64.293106
S1816,01/01/2013,9:00 am,5.5649996,1284,63.98194
S1816,01/01/2013,9:30 am,6.346667,1458,64.39443
S1816,01/01/2013,10:00 am,7.625556,1778,64.85417
S1816,01/01/2013,10:30 am,9.562777,2204,66.066666
S1816,01/01/2013,11:00 am,11.5199995,2628,65.29444
S1816,01/01/2013,11:30 am,13.085551,2958,64.468056
S1816,01/01/2013,Noon,14.773889,3322,64.594444
S1816,01/01/2013,12:30 pm,15.903888,3590,65.176384
S1816,01/01/2013,1:00 pm,15.818336,3556,63.670834
S1816,01/01/2013,1:30 pm,15.089444,3446,64.63473
S1816,01/01/2013,2:00 pm,15.149445,3432,64.57223
S1816,01/01/2013,2:30 pm,15.859445,3564,64.37778
S1816,01/01/2013,3:00 pm,16.456663,3660,64.1375
S1816,01/01/2013,3:30 pm,15.943337,3590,64.326385
S1816,01/01/2013,4:00 pm,15.71889,3522,64.60972
S1816,01/01/2013,4:30 pm,14.24222,3148,64.37917
S1816,01/01/2013,5:00 pm,13.9411125,3058,63.261112
S1816,01/01/2013,5:30 pm,12.91582,2818,62.61158
S1816,01/01/2013,6:00 pm,13.003336,2812,62.69028
S1816,01/01/2013,6:30 pm,12.319444,2698,62.423607
S1816,01/01/2013,7:00 pm,11.305555,2534,62.987503
S1816,01/01/2013,7:30 pm,10.552222,2314,61.697224
S1816,01/01/2013,8:00 pm,10.731112,2380,62.827774
S1816,01/01/2013,8:30 pm,9.406111,2060,61.72639
S1816,01/01/2013,9:00 pm,9.083888,2016,62.668064
S1816,01/01/2013,9:30 pm,8.151666,1810,62.752785
S1816,01/01/2013,10:00 pm,7.5827775,1692,62.025005
S1816,01/01/2013,10:30 pm,7.0244446,1552,60.875
S1816,01/01/2013,11:00 pm,6.632777,1452,62.040283
S1816,01/01/2013,11:30 pm,4.6650004,1068,61.925
S1816,01/01/2013,Midnight,4.3033347,1000,62.495693
S1816,02/01/2013,12:30 am,3.398334,750,62.00438
S1816,02/01/2013,1:00 am,2.3627782,516,62.1368
S1816,02/01/2013,1:30 am,2.2827775,480,61.82424
S1816,02/01/2013,2:00 am,2.0472224,428,60.123463
S1816,02/01/2013,2:30 am,1.8622221,380,60.92484
S1816,02/01/2013,3:00 am,1.5988889,338,60.20652
S1816,02/01/2013,3:30 am,1.4488888,294,61.272522
S1816,02/01/2013,4:00 am,1.8276834,370,62.822468
S1816,02/01/2013,4:30 am,2.3494442,456,61.996597
S1816,02/01/2013,5:00 am,4.1172223,834,61.64744
S1816,02/01/2013,5:30 am,6.5116663,1372,62.274998
S1816,02/01/2013,6:00 am,9.937778,2110,63.579163
S1816,02/01/2013,6:30 am,16.058336,3092,64.352684
S1816,02/01/2013,7:00 am,21.418894,4386,63.8875
S1816,02/01/2013,7:30 am,24.851109,4928,63.054165
