date ,time ,S60,S124,S1816
01/01/2013,12:30 am,4.2118816,3.1160152,6.763332
01/01/2013,1:00 am,7.322565,5.539267,11.034446
01/01/2013,1:30 am,6.460262,5.4313555,10.012775
01/01/2013,2:00 am,4.9443808,4.245676,8.974443
01/01/2013,2:30 am,4.6692576,3.7233863,7.9116664
01/01/2013,3:00 am,3.733013,3.3273377,6.411668
01/01/2013,3:30 am,2.735985,2.5271971,5.139444
01/01/2013,4:00 am,1.8872178,1.887144,4.1555552
01/01/2013,4:30 am,1.7852579,1.4266051,2.7933338
01/01/2013,5:00 am,1.4553981,1.0826669,2.3133328
01/01/2013,5:30 am,1.4450047,1.2396736,2.5433335
01/01/2013,6:00 am,1.9493196,1.3220582,2.4677775
01/01/2013,6:30 am,2.2762487,1.3187438,3.0981817
01/01/2013,7:00 am,2.872628,1.6477071,3.5872226
01/01/2013,7:30 am,2.449062,1.3448359,3.1183336
01/01/2013,8:00 am,3.581529,2.2189145,4.217222
01/01/2013,8:30 am,3.6394703,1.9650098,4.361111
01/01/2013,9:00 am,4.5309324,2.1851654,5.5649996
01/01/2013,9:30 am,5.4287076,2.7191474,6.346667
01/01/2013,10:00 am,5.8684344,4.0977993,7.625556
01/01/2013,10:30 am,6.9269795,3.987451,9.562777
01/01/2013,11:00 am,7.3021483,4.512368,11.5199995
01/01/2013,11:30 am,8.161521,5.276459,13.085551
01/01/2013,Noon,8.890812,5.9003024,14.773889
01/01/2013,12:30 pm,9.3425045,6.5194526,15.903888
01/01/2013,1:00 pm,10.0899,7.1960506,15.818336
01/01/2013,1:30 pm,9.772618,6.6229563,15.089444
01/01/2013,2:00 pm,10.899321,7.3671117,15.149445
01/01/2013,2:30 pm,10.941789,7.605931,15.859445
01/01/2013,3:00 pm,11.691934,8.195241,16.456663
01/01/2013,3:30 pm,11.269453,7.654155,15.943337
01/01/2013,4:00 pm,10.784075,8.445006,15.71889
01/01/2013,4:30 pm,11.194015,8.001337,14.24222
01/01/2013,5:00 pm,10.3764,7.5813165,13.9411125
01/01/2013,5:30 pm,10.934199,7.7456837,12.91582
01/01/2013,6:00 pm,10.292052,7.523845,13.003336
01/01/2013,6:30 pm,10.038837,6.695352,12.319444
01/01/2013,7:00 pm,10.656886,6.404437,11.305555
01/01/2013,7:30 pm,8.61931,6.2486706,10.552222
01/01/2013,8:00 pm,7.732848,5.2799044,10.731112
01/01/2013,8:30 pm,6.918683,4.868416,9.406111
01/01/2013,9:00 pm,5.72412,4.215546,9.083888
01/01/2013,9:30 pm,5.9128904,3.749582,8.151666
01/01/2013,10:00 pm,6.014049,3.8652322,7.5827775
01/01/2013,10:30 pm,5.170615,3.809728,7.0244446
01/01/2013,11:00 pm,4.4452457,2.9509559,6.632777
01/01/2013,11:30 pm,3.280261,2.7107544,4.6650004
01/01/2013,Midnight,2.47327,2.773115,4.3033347
02/01/2013,12:30 am,2.1286108,1.9840837,3.398334
02/01/2013,1:00 am,1.3843706,1.4305669,2.3627782
02/01/2013,1:30 am,1.1162857,1.103249,2.2827775
02/01/2013,2:00 am,1.0193971,1.0891585,2.0472224
02/01/2013,2:30 am,0.7768056,0.9031054,1.8622221
02/01/2013,3:00 am,0.9943617,0.64005744,1.5988889
02/01/2013,3:30 am,0.7504767,0.5490009,1.4488888
02/01/2013,4:00 am,1.2526577,0.73751426,1.8276834
02/01/2013,4:30 am,1.5202115,0.87918633,2.3494442
02/01/2013,5:00 am,2.2673166,1.5765566,4.1172223
02/01/2013,5:30 am,4.695075,2.1346307,6.5116663
02/01/2013,6:00 am,9.720773,3.9264472,9.937778
