sensor,date,time,Density,Flow,Speed
S60,01/01/2013,12:30 am,4.2118816,950,76.753555
S60,01/01/2013,1:00 am,7.322565,1626,75.15318
S60,01/01/2013,1:30 am,6.460262,1444,75.75953
S60,01/01/2013,2:00 am,4.9443808,1104,76.239006
S60,01/01/2013,2:30 am,4.6692576,1054,77.33476
S60,01/01/2013,3:00 am,3.733013,852,80.675224
S60,01/01/2013,3:30 am,2.735985,628,79.93973
S60,01/01/2013,4:00 am,1.8872178,426,77.49285
S60,01/01/2013,4:30 am,1.7852579,396,78.15116
S60,01/01/2013,5:00 am,1.4553981,332,80.00564
S60,01/01/2013,5:30 am,1.4450047,310,74.40578
S60,01/01/2013,6:00 am,1.9493196,434,77.81305
S60,01/01/2013,6:30 am,2.2762487,528,81.23497
S60,01/01/2013,7:00 am,2.872628,664,79.172615
S60,01/01/2013,7:30 am,2.449062,552,80.21787
S60,01/01/2013,8:00 am,3.581529,822,77.15812
S60,01/01/2013,8:30 am,3.6394703,836,78.63326
S60,01/01/2013,9:00 am,4.5309324,1080,81.148094
S60,01/01/2013,9:30 am,5.4287076,1254,79.86881
S60,01/01/2013,10:00 am,5.8684344,1408,81.228714
S60,01/01/2013,10:30 am,6.9269795,1646,80.28841
S60,01/01/2013,11:00 am,7.3021483,1740,81.2103
S60,01/01/2013,11:30 am,8.161521,1896,78.39413
S60,01/01/2013,Noon,8.890812,2104,79.93113
S60,01/01/2013,12:30 pm,9.3425045,2182,79.36325
S60,01/01/2013,1:00 pm,10.0899,2338,77.859695
S60,01/01/2013,1:30 pm,9.772618,2302,79.55762
S60,01/01/2013,2:00 pm,10.899321,2502,77.05197
S60,01/01/2013,2:30 pm,10.941789,2520,77.71235
S60,01/01/2013,3:00 pm,11.691934,2684,77.6267
S60,01/01/2013,3:30 pm,11.269453,2570,77.145424
S60,01/01/2013,4:00 pm,10.784075,2470,77.26862
S60,01/01/2013,4:30 pm,11.194015,2552,77.66081
S60,01/01/2013,5:00 pm,10.3764,2310,76.17541
S60,01/01/2013,5:30 pm,10.934199,2412,74.9113
S60,01/01/2013,6:00 pm,10.292052,2244,74.11665
S60,01/01/2013,6:30 pm,10.038837,2216,74.766106
S60,01/01/2013,7:00 pm,10.656886,2362,75.18515
S60,01/01/2013,7:30 pm,8.61931,1928,76.84492
S60,01/01/2013,8:00 pm,7.732848,1738,77.090256
S60,01/01/2013,8:30 pm,6.918683,1558,77.232376
S60,01/01/2013,9:00 pm,5.72412,1294,76.74101
S60,01/01/2013,9:30 pm,5.9128904,1368,79.1674
S60,01/01/2013,10:00 pm,6.014049,1356,77.69579
S60,01/01/2013,10:30 pm,5.170615,1142,76.26281
S60,01/01/2013,11:00 pm,4.4452457,984,77.04583
S60,01/01/2013,11:30 pm,3.280261,742,77.96979
S60,01/01/2013,Midnight,2.47327,544,77.63812
S60,02/01/2013,12:30 am,2.1286108,470,80.39559
S60,02/01/2013,1:00 am,1.3843706,302,77.68461
S60,02/01/2013,1:30 am,1.1162857,222,80.94296
S60,02/01/2013,2:00 am,1.0193971,206,77.04178
S60,02/01/2013,2:30 am,0.7768056,164,74.32104
S60,02/01/2013,3:00 am,0.9943617,196,78.86353
S60,02/01/2013,3:30 am,0.7504767,138,75.06356
S60,02/01/2013,4:00 am,1.2526577,246,76.9642
S60,02/01/2013,4:30 am,1.5202115,288,72.50096
S60,02/01/2013,5:00 am,2.2673166,478,76.34123
S60,02/01/2013,5:30 am,4.695075,1028,76.00655
S60,02/01/2013,6:00 am,9.720773,2174,76.810356
S60,02/01/2013,6:30 am,13.674454,2946,73.80014
S60,02/01/2013,7:00 am,22.593296,4576,69.01255
S60,02/01/2013,7:30 am,27.177076,5196,65.23351
S60,02/01/2013,8:00 am,29.416674,5106,59.24282
S60,02/01/2013,8:30 am,27.365551,4572,58.15144
S60,02/01/2013,9:00 am,40.95471,4344,42.788654
S60,02/01/2013,9:30 am,26.62244,3788,56.717117
S60,02/01/2013,10:00 am,18.781313,3476,63.488037
S60,02/01/2013,10:30 am,15.331897,2932,66.19066
S60,02/01/2013,11:00 am,15.965991,3004,65.50905
S60,02/01/2013,11:30 am,15.341596,2814,63.35714
S60,02/01/2013,Noon,14.940908,2950,68.728096
S60,02/01/2013,12:30 pm,15.862224,2878,63.69383
S60,02/01/2013,1:00 pm,17.343193,3244,64.533646
S60,02/01/2013,1:30 pm,17.852474,3056,60.091934
S60,02/01/2013,2:00 pm,19.229315,3488,62.142803
S60,02/01/2013,2:30 pm,19.13645,3498,63.439697
S60,02/01/2013,3:00 pm,18.887882,3626,66.129395
S60,02/01/2013,3:30 pm,19.378723,3614,63.918285
S60,02/01/2013,4:00 pm,21.751356,3860,60.830673
S60,02/01/2013,4:30 pm,22.526339,3756,58.13326
S60,02/01/2013,5:00 pm,66.84601,3174,19.43426
S60,02/01/2013,5:30 pm,28.206196,3370,46.59896
S60,02/01/2013,6:00 pm,20.761116,3360,55.588768
S60,02/01/2013,6:30 pm,16.723656,3036,62.719395
S60,02/01/2013,7:00 pm,15.091585,2950,66.52358
S60,02/01/2013,7:30 pm,12.587043,2474,67.89195
S60,02/01/2013,8:00 pm,11.166033,2196,69.13419
S60,02/01/2013,8:30 pm,9.838932,2012,69.617355
S60,02/01/2013,9:00 pm,9.479737,1988,71.52837
S60,02/01/2013,9:30 pm,9.100574,1910,72.32363
S60,02/01/2013,10:00 pm,8.800268,1864,72.60954
S60,02/01/2013,10:30 pm,7.4483643,1600,73.88351
S60,02/01/2013,11:00 pm,6.104785,1310,75.77571
S60,02/01/2013,11:30 pm,4.3590593,930,73.61515
S60,02/01/2013,Midnight,3.512594,718,73.45232
S60,03/01/2013,12:30 am,2.5522046,538,76.10654
S60,03/01/2013,1:00 am,2.006482,380,73.43751
S60,03/01/2013,1:30 am,1.6670883,312,72.08411
S60,03/01/2013,2:00 am,1.6411407,292,69.20911
S60,03/01/2013,2:30 am,1.2813579,222,68.352196
S60,03/01/2013,3:00 am,1.2442527,228,70.15349
S60,03/01/2013,3:30 am,1.2022324,206,69.71189
S60,03/01/2013,4:00 am,1.4876125,282,72.76972
S60,03/01/2013,4:30 am,1.608083,306,71.62918
S60,03/01/2013,5:00 am,2.5886798,480,69.38575
S60,03/01/2013,5:30 am,4.7623816,1008,75.12937
S60,03/01/2013,6:00 am,9.7828455,2092,73.88414
S60,03/01/2013,6:30 am,14.248296,2940,70.76845
S60,03/01/2013,7:00 am,25.189571,4836,65.58466
S60,03/01/2013,7:30 am,28.35248,5290,63.826492
S60,03/01/2013,8:00 am,32.921963,5422,56.13287
S60,03/01/2013,8:30 am,31.900064,5066,56.24492
S60,03/01/2013,9:00 am,26.939062,4966,62.74729
S60,03/01/2013,9:30 am,20.327908,4024,67.16331
S60,03/01/2013,10:00 am,20.488352,3852,64.38922
S60,03/01/2013,10:30 am,16.471312,3136,66.41409
S60,03/01/2013,11:00 am,16.175867,3162,67.27451
S60,03/01/2013,11:30 am,16.064383,3152,68.05705
S60,03/01/2013,Noon,16.510113,3332,68.95212
S60,03/01/2013,12:30 pm,15.537328,3146,69.31455
S60,03/01/2013,1:00 pm,17.258593,3006,66.80671
S60,03/01/2013,1:30 pm,15.891104,3210,69.04104
S60,03/01/2013,2:00 pm,17.615826,3578,69.613686
S60,03/01/2013,2:30 pm,18.14187,3636,69.53547
S60,03/01/2013,3:00 pm,20.138577,4050,68.730484
S60,03/01/2013,3:30 pm,20.225891,4078,68.40051
S60,03/01/2013,4:00 pm,19.172297,3906,69.47371
S60,03/01/2013,4:30 pm,20.502163,3980,66.44502
S60,03/01/2013,5:00 pm,27.633785,4112,55.198887
S60,03/01/2013,5:30 pm,41.163345,3814,41.44734
S60,03/01/2013,6:00 pm,28.54976,3642,49.834778
S60,03/01/2013,6:30 pm,17.262966,3492,69.31874
S60,03/01/2013,7:00 pm,16.04864,3290,70.057274
S60,03/01/2013,7:30 pm,12.5554085,2704,73.2857
S60,03/01/2013,8:00 pm,10.635496,2322,74.071495
S60,03/01/2013,8:30 pm,10.403276,2286,74.46439
S60,03/01/2013,9:00 pm,9.120572,2000,73.35684
S60,03/01/2013,9:30 pm,9.750253,2084,73.70669
S60,03/01/2013,10:00 pm,8.302148,1822,75.63102
S60,03/01/2013,10:30 pm,8.458573,1802,73.144646
S60,03/01/2013,11:00 pm,6.415786,1360,73.39749
S60,03/01/2013,11:30 pm,4.755116,1000,74.80509
S60,03/01/2013,Midnight,4.0467405,844,74.66092
S60,04/01/2013,12:30 am,2.8259895,580,74.91944
S60,04/01/2013,1:00 am,2.5271323,506,74.43802
S60,04/01/2013,1:30 am,1.7644023,322,79.18914
S60,04/01/2013,2:00 am,1.77853,320,70.04762
S60,04/01/2013,2:30 am,1.6812961,332,74.9824
S60,04/01/2013,3:00 am,1.1880419,236,73.61152
S60,04/01/2013,3:30 am,1.2457492,222,74.13749
S60,04/01/2013,4:00 am,1.6537069,310,77.02442
S60,04/01/2013,4:30 am,1.8833042,340,69.42238
S60,04/01/2013,5:00 am,2.340188,468,74.480835
S60,04/01/2013,5:30 am,4.42285,918,73.80635
S60,04/01/2013,6:00 am,10.188937,2174,73.73424
S60,04/01/2013,6:30 am,13.346849,2830,73.09506
S60,04/01/2013,7:00 am,23.519203,4618,66.68844
S60,04/01/2013,7:30 am,28.56083,5250,63.47074
S60,04/01/2013,8:00 am,36.348892,5438,52.938366
S60,04/01/2013,8:30 am,34.777607,5126,52.984707
S60,04/01/2013,9:00 am,28.421972,5254,63.76295
S60,04/01/2013,9:30 am,21.097467,4200,68.52076
S60,04/01/2013,10:00 am,20.25305,4058,68.447044
S60,04/01/2013,10:30 am,16.79806,3310,68.8887
S60,04/01/2013,11:00 am,16.778708,3408,69.614456
S60,04/01/2013,11:30 am,16.848967,3382,69.13802
S60,04/01/2013,Noon,17.358747,3558,69.56448
S60,04/01/2013,12:30 pm,16.46035,3436,70.98769
S60,04/01/2013,1:00 pm,18.2624,3794,70.36964
S60,04/01/2013,1:30 pm,17.953918,3698,70.692375
S60,04/01/2013,2:00 pm,18.122118,3730,70.702896
S60,04/01/2013,2:30 pm,43.526196,3444,43.740482
S60,04/01/2013,3:00 pm,22.870985,4372,66.46367
S60,04/01/2013,3:30 pm,19.951895,3902,66.973885
S60,04/01/2013,4:00 pm,19.864546,3536,61.018692
S60,04/01/2013,4:30 pm,24.820993,4166,57.35265
S60,04/01/2013,5:00 pm,24.5873,4240,59.238693
S60,04/01/2013,5:30 pm,22.451342,3778,57.70849
S60,04/01/2013,6:00 pm,20.463875,3586,59.955143
S60,04/01/2013,6:30 pm,16.523964,3256,68.16021
S60,04/01/2013,7:00 pm,16.923483,3522,70.855
S60,04/01/2013,7:30 pm,14.388243,2966,70.74209
S60,04/01/2013,8:00 pm,11.940448,2574,73.994896
S60,04/01/2013,8:30 pm,10.356647,2250,73.64976
S60,04/01/2013,9:00 pm,10.14136,2228,75.900826
S60,04/01/2013,9:30 pm,11.349267,2456,74.45918
S60,04/01/2013,10:00 pm,9.899285,2226,76.674385
S60,04/01/2013,10:30 pm,10.718021,2314,73.26287
S60,04/01/2013,11:00 pm,8.554208,1892,75.69331
S60,04/01/2013,11:30 pm,6.4319634,1436,76.373695
S60,04/01/2013,Midnight,5.583137,1242,75.84505
S60,05/01/2013,12:30 am,4.25641,906,73.978836
S60,05/01/2013,1:00 am,3.3760636,740,78.817116
S60,05/01/2013,1:30 am,2.4072778,500,74.39087
S60,05/01/2013,2:00 am,2.0730188,408,73.62429
S60,05/01/2013,2:30 am,1.8020511,372,74.242805
S60,05/01/2013,3:00 am,1.516341,326,77.6982
S60,05/01/2013,3:30 am,1.1687411,246,78.42874
S60,05/01/2013,4:00 am,1.1856272,226,73.00228
S60,05/01/2013,4:30 am,1.2323657,244,73.75863
S60,05/01/2013,5:00 am,1.5980785,312,76.81372
S60,05/01/2013,5:30 am,1.7013195,328,74.06341
S60,05/01/2013,6:00 am,2.7563248,594,79.17869
S60,05/01/2013,6:30 am,3.1421816,690,77.93292
S60,05/01/2013,7:00 am,5.1911817,1134,76.37679
S60,05/01/2013,7:30 am,5.6491404,1196,73.93307
S60,05/01/2013,8:00 am,8.044638,1758,75.25392
S60,05/01/2013,8:30 am,8.526208,1920,79.90806
S60,05/01/2013,9:00 am,10.46726,2370,77.35408
S60,05/01/2013,9:30 am,9.418281,2122,76.8653
S60,05/01/2013,10:00 am,13.069634,2936,75.75278
S60,05/01/2013,10:30 am,11.805245,2678,76.792046
S60,05/01/2013,11:00 am,13.135153,2948,75.81334
S60,05/01/2013,11:30 am,12.934005,2930,77.004005
S60,05/01/2013,Noon,15.250869,3266,72.49433
S60,05/01/2013,12:30 pm,17.260378,3328,66.33472
S60,05/01/2013,1:00 pm,15.687293,3442,74.55447
S60,05/01/2013,1:30 pm,19.002987,3304,64.80795
S60,05/01/2013,2:00 pm,15.027426,3434,76.98668
S60,05/01/2013,2:30 pm,16.246758,3580,74.3861
S60,05/01/2013,3:00 pm,16.340218,3608,74.87847
S60,05/01/2013,3:30 pm,15.578095,3452,75.160515
S60,05/01/2013,4:00 pm,16.564665,3632,74.66549
S60,05/01/2013,4:30 pm,15.86141,3444,73.89512
S60,05/01/2013,5:00 pm,17.415344,3730,72.82188
S60,05/01/2013,5:30 pm,18.223436,3766,70.61251
