
sensor,date,time,Density,Flow,Speed,
S61,2013/01/01,12:30 AM,5.264573,732.0,70.7724,
S61,2013/01/01,1 AM,9.017436,1262.0,71.39969,
S61,2013/01/01,1:30 AM,8.311268,1154.0,69.93891,
S61,2013/01/01,2 AM,5.8123755,824.0,71.226006,
S61,2013/01/01,2:30 AM,5.436761,764.0,71.07325,
S61,2013/01/01,3 AM,4.5383244,622.0,69.61979,
S61,2013/01/01,3:30 AM,3.4019048,482.0,71.9262,
S61,2013/01/01,4 AM,2.2452235,310.0,69.45027,
S61,2013/01/01,4:30 AM,2.411145,334.0,71.82699,
S61,2013/01/01,5 AM,1.913818,274.0,75.30693,
S61,2013/01/01,5:30 AM,1.785232,248.0,71.00285,
S61,2013/01/01,6 AM,2.303304,306.0,71.93406,
S61,2013/01/01,6:30 AM,2.691767,388.0,73.07603,
S61,2013/01/01,7 AM,3.6315567,524.0,73.89315,
S61,2013/01/01,7:30 AM,3.0341067,432.0,75.79868,
S61,2013/01/01,8 AM,4.856062,690.0,71.621056,
S61,2013/01/01,8:30 AM,4.757882,672.0,71.77026,
S61,2013/01/01,9 AM,5.089258,740.0,73.26583,
S61,2013/01/01,9:30 AM,6.0737653,864.0,72.654175,
S61,2013/01/01,10 AM,7.112599,1052.0,74.57183,
S61,2013/01/01,10:30 AM,9.3034525,1336.0,72.612144,
S61,2013/01/01,11 AM,9.410056,1380.0,74.20014,
S61,2013/01/01,11:30 AM,10.485151,1508.0,72.86033,
S61,2013/01/01,Noon,11.4103155,1652.0,72.77447,
S61,2013/01/01,12:30 PM,12.063732,1726.0,72.81453,
S61,2013/01/01,1 PM,12.773793,1846.0,72.99013,
S61,2013/01/01,1:30 PM,12.354478,1808.0,73.71629,
S61,2013/01/01,2 PM,13.652282,1936.0,72.04445,
S61,2013/01/01,2:30 PM,13.204082,1898.0,72.450874,
S61,2013/01/01,3 PM,14.155636,2016.0,71.923874,
S61,2013/01/01,3:30 PM,14.135824,2004.0,71.717705,
S61,2013/01/01,4 PM,12.823083,1820.0,71.58709,
S61,2013/01/01,4:30 PM,13.35024,1900.0,72.15793,
S61,2013/01/01,5 PM,12.543441,1728.0,70.111275,
S61,2013/01/01,5:30 PM,12.8732195,1752.0,69.01614,
S61,2013/01/01,6 PM,12.836895,1746.0,68.898705,
