sensor,date,time,Density,Flow,Speed
S124,01/01/2013,12:30 am,3.1160152,722,58.45517
S124,01/01/2013,1:00 am,5.539267,1268,57.390503
S124,01/01/2013,1:30 am,5.4313555,1230,56.480312
S124,01/01/2013,2:00 am,4.245676,966,57.3177
S124,01/01/2013,2:30 am,3.7233863,842,57.356087
S124,01/01/2013,3:00 am,3.3273377,758,57.047077
S124,01/01/2013,3:30 am,2.5271971,576,57.109158
S124,01/01/2013,4:00 am,1.887144,428,56.331932
S124,01/01/2013,4:30 am,1.4266051,326,57.911453
S124,01/01/2013,5:00 am,1.0826669,248,57.951267
S124,01/01/2013,5:30 am,1.2396736,280,57.628147
S124,01/01/2013,6:00 am,1.3220582,294,57.387478
S124,01/01/2013,6:30 am,1.3187438,302,60.072014
S124,01/01/2013,7:00 am,1.6477071,350,56.642258
S124,01/01/2013,7:30 am,1.3448359,302,58.72602
S124,01/01/2013,8:00 am,2.2189145,530,60.290462
S124,01/01/2013,8:30 am,1.9650098,470,60.740166
S124,01/01/2013,9:00 am,2.1851654,532,62.43681
S124,01/01/2013,9:30 am,2.7191474,648,59.344425
S124,01/01/2013,10:00 am,4.0977993,780,59.320183
S124,01/01/2013,10:30 am,3.987451,958,61.091118
S124,01/01/2013,11:00 am,4.512368,1100,60.91992
S124,01/01/2013,11:30 am,5.276459,1272,60.497475
S124,01/01/2013,Noon,5.9003024,1424,60.514175
S124,01/01/2013,12:30 pm,6.5194526,1572,60.659397
S124,01/01/2013,1:00 pm,7.1960506,1712,59.584522
S124,01/01/2013,1:30 pm,6.6229563,1592,60.441624
S124,01/01/2013,2:00 pm,7.3671117,1762,59.812496
S124,01/01/2013,2:30 pm,7.605931,1824,60.006607
S124,01/01/2013,3:00 pm,8.195241,1946,59.747997
S124,01/01/2013,3:30 pm,7.654155,1824,59.796726
S124,01/01/2013,4:00 pm,8.445006,1980,59.200626
S124,01/01/2013,4:30 pm,8.001337,1898,59.84142
S124,01/01/2013,5:00 pm,7.5813165,1766,58.469715
S124,01/01/2013,5:30 pm,7.7456837,1782,58.12651
S124,01/01/2013,6:00 pm,7.523845,1720,57.551563
S124,01/01/2013,6:30 pm,6.695352,1548,57.911114
S124,01/01/2013,7:00 pm,6.404437,1484,57.783054
S124,01/01/2013,7:30 pm,6.2486706,1414,57.095627
S124,01/01/2013,8:00 pm,5.2799044,1224,58.34949
S124,01/01/2013,8:30 pm,4.868416,1110,57.565296
S124,01/01/2013,9:00 pm,4.215546,954,57.465084
S124,01/01/2013,9:30 pm,3.749582,868,58.221886
S124,01/01/2013,10:00 pm,3.8652322,880,57.55836
S124,01/01/2013,10:30 pm,3.809728,856,56.80634
S124,01/01/2013,11:00 pm,2.9509559,656,57.757668
S124,01/01/2013,11:30 pm,2.7107544,602,57.10599
S124,01/01/2013,Midnight,2.773115,636,58.146564
S124,02/01/2013,12:30 am,1.9840837,434,57.239952
S124,02/01/2013,1:00 am,1.4305669,314,56.46656
S124,02/01/2013,1:30 am,1.103249,224,55.113567
S124,02/01/2013,2:00 am,1.0891585,220,55.695072
S124,02/01/2013,2:30 am,0.9031054,186,56.210182
S124,02/01/2013,3:00 am,0.64005744,142,57.780243
S124,02/01/2013,3:30 am,0.5490009,110,57.870796
S124,02/01/2013,4:00 am,0.73751426,146,55.375877
S124,02/01/2013,4:30 am,0.87918633,186,56.966526
S124,02/01/2013,5:00 am,1.5765566,314,55.92554
S124,02/01/2013,5:30 am,2.1346307,478,58.03355
S124,02/01/2013,6:00 am,3.9264472,862,57.977505
S124,02/01/2013,6:30 am,5.1640124,1134,57.345387
S124,02/01/2013,7:00 am,7.207617,1610,57.43744
S124,02/01/2013,7:30 am,8.027308,1736,55.7459
S124,02/01/2013,8:00 am,9.038484,1912,53.820045
S124,02/01/2013,8:30 am,7.8309164,1492,50.310562
S124,02/01/2013,9:00 am,7.414386,1386,48.8618
S124,02/01/2013,9:30 am,7.4488235,1398,49.220592
S124,02/01/2013,10:00 am,10.609509,1490,43.030544
S124,02/01/2013,10:30 am,13.36023,1532,34.71578
S124,02/01/2013,11:00 am,6.7596807,1158,45.163193
S124,02/01/2013,11:30 am,8.715765,1610,48.521214
S124,02/01/2013,Noon,8.562756,1662,50.726665
S124,02/01/2013,12:30 pm,8.289383,1728,53.226784
S124,02/01/2013,1:00 pm,8.524271,1790,54.42924
S124,02/01/2013,1:30 pm,9.371994,2016,55.1631
S124,02/01/2013,2:00 pm,9.851252,2150,55.46172
S124,02/01/2013,2:30 pm,11.074514,2376,55.271946
S124,02/01/2013,3:00 pm,12.061844,2670,57.166965
