
sensor,date,time,Density,Flow,Speed,
S1708,2013/01/01,12:30 AM,5.914445,710.0,57.92373,
S1708,2013/01/01,1 AM,9.928888,1216.0,57.083332,
S1708,2013/01/01,1:30 AM,9.319999,1124.0,57.041668,
S1708,2013/01/01,2 AM,6.6288886,804.0,57.866665,
S1708,2013/01/01,2:30 AM,5.948889,734.0,58.133335,
S1708,2013/01/01,3 AM,5.1666656,614.0,57.358334,
S1708,2013/01/01,3:30 AM,3.7766669,468.0,58.058334,
S1708,2013/01/01,4 AM,2.5163844,302.0,57.3125,
S1708,2013/01/01,4:30 AM,2.7477775,332.0,57.9,
S1708,2013/01/01,5 AM,2.1155555,268.0,58.169643,
S1708,2013/01/01,5:30 AM,1.958889,244.0,58.33654,
S1708,2013/01/01,6 AM,2.5644443,304.0,59.52778,
S1708,2013/01/01,6:30 AM,3.033333,348.0,59.816326,
S1708,2013/01/01,7 AM,4.1144443,510.0,59.263157,
S1708,2013/01/01,7:30 AM,3.5411115,422.0,59.194916,
S1708,2013/01/01,8 AM,5.5933332,674.0,59.291668,
S1708,2013/01/01,8:30 AM,5.313333,656.0,59.85,
S1708,2013/01/01,9 AM,5.703334,736.0,60.683334,
S1708,2013/01/01,9:30 AM,6.856667,854.0,59.708332,
S1708,2013/01/01,10 AM,7.9477777,1028.0,60.691666,
S1708,2013/01/01,10:30 AM,10.3522215,1318.0,59.991665,
S1708,2013/01/01,11 AM,10.718887,1358.0,60.758335,
S1708,2013/01/01,11:30 AM,11.69,1476.0,60.025,
S1708,2013/01/01,Noon,12.96222,1636.0,60.183334,
S1708,2013/01/01,12:30 PM,13.545557,1682.0,59.625,
S1708,2013/01/01,1 PM,14.165558,1806.0,59.833332,
S1708,2013/01/01,1:30 PM,13.86111,1780.0,60.008335,
S1708,2013/01/01,2 PM,15.503332,1914.0,59.491665,
S1708,2013/01/01,2:30 PM,15.037776,1854.0,59.591667,
S1708,2013/01/01,3 PM,16.074444,1980.0,59.158333,
S1708,2013/01/01,3:30 PM,15.892222,1960.0,59.208332,
S1708,2013/01/01,4 PM,14.165555,1784.0,58.808334,
S1708,2013/01/01,4:30 PM,15.14,1874.0,58.825,
S1708,2013/01/01,5 PM,14.058887,1696.0,57.725,
S1708,2013/01/01,5:30 PM,14.587569,1684.0,56.61017,
S1708,2013/01/01,6 PM,14.248888,1692.0,56.475,
S1708,2013/01/01,6:30 PM,14.243332,1716.0,56.491665,
S1708,2013/01/01,7 PM,14.335559,1708.0,57.058334,
S1708,2013/01/01,7:30 PM,12.081114,1454.0,57.816666,
S1708,2013/01/01,8 PM,10.913331,1354.0,58.391666,
S1708,2013/01/01,8:30 PM,9.678889,1196.0,58.083332,
S1708,2013/01/01,9 PM,7.856666,978.0,58.408333,
S1708,2013/01/01,9:30 PM,8.571111,1076.0,59.075,
S1708,2013/01/01,10 PM,8.69889,1072.0,58.841667,
S1708,2013/01/01,10:30 PM,7.351112,868.0,58.891666,
S1708,2013/01/01,11 PM,6.5244455,772.0,58.45,
S1708,2013/01/01,11:30 PM,5.356666,622.0,57.825,
S1708,2013/01/01,Midnight,3.5500007,440.0,58.86842,
S1708,2013/01/02,12:30 AM,3.2222223,362.0,58.830357,
S1708,2013/01/02,1 AM,2.0322223,246.0,59.68,
S1708,2013/01/02,1:30 AM,1.72,182.0,58.465115,
S1708,2013/01/02,2 AM,1.4899999,162.0,59.654762,
S1708,2013/01/02,2:30 AM,1.2544445,146.0,57.979168,
S1708,2013/01/02,3 AM,1.6988888,166.0,58.27174,
S1708,2013/01/02,3:30 AM,1.3,114.0,59.32353,
S1708,2013/01/02,4 AM,2.2322226,210.0,59.829544,
S1708,2013/01/02,4:30 AM,2.5855558,244.0,59.333332,
S1708,2013/01/02,5 AM,3.4988885,346.0,60.471153,
S1708,2013/01/02,5:30 AM,6.8800006,770.0,60.458332,
S1708,2013/01/02,6 AM,13.159999,1458.0,60.575,
S1708,2013/01/02,6:30 AM,17.613094,1806.0,58.55357,
S1708,2013/01/02,7 AM,27.126673,2824.0,54.9,
S1708,2013/01/02,7:30 AM,32.214447,3200.0,51.6,
S1708,2013/01/02,8 AM,37.99555,3106.0,44.391666,
S1708,2013/01/02,8:30 AM,30.347782,2676.0,47.375,
S1708,2013/01/02,9 AM,59.837772,2450.0,29.0,
S1708,2013/01/02,9:30 AM,38.142212,2240.0,38.525,
S1708,2013/01/02,10 AM,25.516663,2310.0,51.933334,
S1708,2013/01/02,10:30 AM,21.566666,1968.0,54.103447,
S1708,2013/01/02,11 AM,21.043333,2036.0,54.591667,
S1708,2013/01/02,11:30 AM,21.038889,2024.0,53.991665,
S1708,2013/01/02,Noon,22.188892,2182.0,55.608334,
S1708,2013/01/02,12:30 PM,22.16333,2030.0,53.05,
S1708,2013/01/02,1 PM,23.736668,2304.0,50.666668,
S1708,2013/01/02,1:30 PM,24.09444,2156.0,49.008335,
S1708,2013/01/02,2 PM,27.158892,2518.0,49.791668,
S1708,2013/01/02,2:30 PM,27.46667,2518.0,50.65,
S1708,2013/01/02,3 PM,25.098883,2538.0,52.883335,
S1708,2013/01/02,3:30 PM,25.928883,2566.0,52.291668,
S1708,2013/01/02,4 PM,44.902218,2500.0,36.758335,
S1708,2013/01/02,4:30 PM,59.102226,2404.0,31.916666,
S1708,2013/01/02,5 PM,117.868866,1596.0,13.161017,
S1708,2013/01/02,5:30 PM,61.19334,2200.0,29.658333,
S1708,2013/01/02,6 PM,26.178886,2378.0,45.575,
S1708,2013/01/02,6:30 PM,20.70111,2074.0,50.125,
S1708,2013/01/02,7 PM,19.671112,2116.0,52.133335,
S1708,2013/01/02,7:30 PM,16.492224,1752.0,53.858334,
S1708,2013/01/02,8 PM,15.185558,1592.0,53.166668,
S1708,2013/01/02,8:30 PM,13.083335,1490.0,54.925,
S1708,2013/01/02,9 PM,12.437778,1396.0,54.291668,
S1708,2013/01/02,9:30 PM,12.518892,1382.0,54.55,
S1708,2013/01/02,10 PM,11.9400015,1366.0,55.533333,
S1708,2013/01/02,10:30 PM,10.115557,1174.0,56.366665,
S1708,2013/01/02,11 PM,8.873333,990.0,56.74576,
S1708,2013/01/02,11:30 PM,6.7055564,730.0,56.583332,
S1708,2013/01/02,Midnight,5.5144434,570.0,56.983334,
S1708,2013/01/03,12:30 AM,3.8144448,418.0,56.254387,
S1708,2013/01/03,1 AM,2.9922223,306.0,57.342106,
S1708,2013/01/03,1:30 AM,2.9088895,264.0,56.37037,
S1708,2013/01/03,2 AM,2.82,244.0,56.568626,
S1708,2013/01/03,2:30 AM,1.8977778,182.0,57.65116,
S1708,2013/01/03,3 AM,1.99,190.0,56.076088,
S1708,2013/01/03,3:30 AM,1.7255555,152.0,57.77778,
S1708,2013/01/03,4 AM,2.3016949,220.0,57.604168,
S1708,2013/01/03,4:30 AM,2.5088887,240.0,57.85294,
S1708,2013/01/03,5 AM,4.0788894,360.0,58.5625,
S1708,2013/01/03,5:30 AM,6.6522217,714.0,59.77966,
S1708,2013/01/03,6 AM,12.699999,1368.0,58.866665,
S1708,2013/01/03,6:30 AM,17.695553,1900.0,57.941666,
S1708,2013/01/03,7 AM,29.905548,3016.0,53.825,
S1708,2013/01/03,7:30 AM,31.855558,3260.0,51.666668,
S1708,2013/01/03,8 AM,35.118893,3316.0,49.016666,
S1708,2013/01/03,8:30 AM,30.952223,2978.0,51.191666,
S1708,2013/01/03,9 AM,29.453333,2924.0,52.35,
S1708,2013/01/03,9:30 AM,23.916668,2424.0,54.516666,
S1708,2013/01/03,10 AM,25.17889,2440.0,54.125,
S1708,2013/01/03,10:30 AM,22.479528,2090.0,55.80702,
S1708,2013/01/03,11 AM,22.762709,2206.0,56.771187,
S1708,2013/01/03,11:30 AM,22.11889,2244.0,56.683334,
S1708,2013/01/03,Noon,23.100002,2360.0,56.9,
S1708,2013/01/03,12:30 PM,23.134466,2344.0,57.64407,
S1708,2013/01/03,1 PM,26.674074,392.0,56.72222,
S1708,2013/01/03,1:30 PM,22.873333,2366.0,58.233334,
S1708,2013/01/03,2 PM,24.850006,2568.0,57.925,
S1708,2013/01/03,2:30 PM,25.450006,2600.0,57.066666,
S1708,2013/01/03,3 PM,27.996672,2900.0,57.341667,
S1708,2013/01/03,3:30 PM,27.873331,2908.0,56.608334,
S1708,2013/01/03,4 PM,25.759998,2778.0,56.941666,
S1708,2013/01/03,4:30 PM,27.03333,2726.0,54.358334,
S1708,2013/01/03,5 PM,90.49111,2496.0,20.725,
S1708,2013/01/03,5:30 PM,104.09446,2240.0,15.166667,
S1708,2013/01/03,6 PM,92.490005,2268.0,16.666666,
S1708,2013/01/03,6:30 PM,36.796658,2446.0,42.175,
S1708,2013/01/03,7 PM,22.46667,2460.0,55.733334,
S1708,2013/01/03,7:30 PM,17.608887,2028.0,57.533333,
S1708,2013/01/03,8 PM,15.534445,1796.0,57.966667,
S1708,2013/01/03,8:30 PM,14.353333,1690.0,58.266666,
S1708,2013/01/03,9 PM,12.869997,1530.0,58.175,
S1708,2013/01/03,9:30 PM,13.65111,1568.0,57.875,
S1708,2013/01/03,10 PM,11.583334,1398.0,58.175,
S1708,2013/01/03,10:30 PM,12.1466675,1358.0,57.933334,
S1708,2013/01/03,11 PM,9.531111,1094.0,58.833332,
S1708,2013/01/03,11:30 PM,6.828889,750.0,59.025425,
S1708,2013/01/03,Midnight,6.1133337,678.0,58.625,
S1708,2013/01/04,12:30 AM,4.62,472.0,58.458332,
S1708,2013/01/04,1 AM,4.084444,408.0,58.973682,
S1708,2013/01/04,1:30 AM,3.0655558,270.0,59.145832,
S1708,2013/01/04,2 AM,2.727778,264.0,57.229168,
S1708,2013/01/04,2:30 AM,2.678889,258.0,58.942307,
S1708,2013/01/04,3 AM,1.9144444,190.0,57.465908,
S1708,2013/01/04,3:30 AM,2.1344445,198.0,59.061226,
S1708,2013/01/04,4 AM,2.5588884,232.0,59.67347,
S1708,2013/01/04,4:30 AM,3.0599997,270.0,59.8125,
S1708,2013/01/04,5 AM,3.196667,318.0,61.132076,
S1708,2013/01/04,5:30 AM,6.355556,646.0,60.841667,
S1708,2013/01/04,6 AM,13.691112,1464.0,60.966667,
S1708,2013/01/04,6:30 AM,16.964445,1858.0,59.608334,
S1708,2013/01/04,7 AM,27.755554,2898.0,56.175,
S1708,2013/01/04,7:30 AM,31.775557,3160.0,53.175,
S1708,2013/01/04,8 AM,72.00443,3190.0,31.633333,
S1708,2013/01/04,8:30 AM,51.10444,3000.0,42.541668,
S1708,2013/01/04,9 AM,31.428896,3116.0,54.133335,
S1708,2013/01/04,9:30 AM,26.402222,2642.0,56.391666,
S1708,2013/01/04,10 AM,27.432215,2750.0,56.35,
S1708,2013/01/04,10:30 AM,24.28391,2346.0,57.077587,
S1708,2013/01/04,11 AM,23.396608,2338.0,57.70339,
S1708,2013/01/04,11:30 AM,24.283335,2462.0,57.866665,
S1708,2013/01/04,Noon,24.581108,2548.0,58.416668,
S1708,2013/01/04,12:30 PM,23.762224,2592.0,58.766666,
S1708,2013/01/04,1 PM,26.191113,2768.0,57.841667,
S1708,2013/01/04,1:30 PM,24.341105,2612.0,58.991665,
S1708,2013/01/04,2 PM,25.605648,2692.0,58.771187,
S1708,2013/01/04,2:30 PM,39.287773,2010.0,38.551723,
S1708,2013/01/04,3 PM,64.96667,2904.0,31.558332,
S1708,2013/01/04,3:30 PM,26.497782,2764.0,56.5,
S1708,2013/01/04,4 PM,24.510002,2454.0,52.65,
S1708,2013/01/04,4:30 PM,29.04667,2888.0,52.358334,
S1708,2013/01/04,5 PM,70.42334,2640.0,28.0,
S1708,2013/01/04,5:30 PM,81.3889,2426.0,21.458334,
S1708,2013/01/04,6 PM,29.926668,2438.0,44.5,
S1708,2013/01/04,6:30 PM,21.338892,2298.0,54.933334,
S1708,2013/01/04,7 PM,22.464447,2566.0,56.816666,
S1708,2013/01/04,7:30 PM,19.44333,2208.0,56.95,
