
sensor,date,time,Density,Flow,Speed,
S60,2014/04/01,12:30 AM,3.5264132,632.0,69.47802,
S60,2014/04/01,1 AM,2.8654943,496.0,68.54434,
S60,2014/04/01,1:30 AM,2.5904548,406.0,61.22514,
S60,2014/04/01,2 AM,2.6931608,396.0,61.701954,
S60,2014/04/01,2:30 AM,2.283208,322.0,61.434093,
S60,2014/04/01,3 AM,1.9522109,266.0,59.634808,
S60,2014/04/01,3:30 AM,1.9048402,264.0,59.834442,
S60,2014/04/01,4 AM,2.301537,326.0,60.59002,
S60,2014/04/01,4:30 AM,2.6126716,386.0,58.69299,
S60,2014/04/01,5 AM,3.7907104,616.0,60.361298,
S60,2014/04/01,5:30 AM,5.295618,1038.0,70.38599,
S60,2014/04/01,6 AM,11.08381,2360.0,72.663574,
S60,2014/04/01,6:30 AM,15.260127,3162.0,71.11065,
S60,2014/04/01,7 AM,27.938707,4784.0,60.420532,
S60,2014/04/01,7:30 AM,33.009243,5424.0,58.294205,
S60,2014/04/01,8 AM,40.141453,4872.0,45.820843,
S60,2014/04/01,8:30 AM,41.758156,4080.0,35.90877,
S60,2014/04/01,9 AM,30.523037,3824.0,43.88941,
S60,2014/04/01,9:30 AM,31.693684,3786.0,41.39342,
S60,2014/04/01,10 AM,56.963394,2868.0,21.03195,
S60,2014/04/01,10:30 AM,54.438374,3038.0,25.478369,
S60,2014/04/01,11 AM,16.823362,3134.0,65.30727,
S60,2014/04/01,11:30 AM,15.718029,3154.0,68.63413,
S60,2014/04/01,Noon,15.436405,3142.0,69.80688,
S60,2014/04/01,12:30 PM,16.01797,3240.0,68.88411,
S60,2014/04/01,1 PM,17.508003,3538.0,69.327705,
S60,2014/04/01,1:30 PM,17.232616,3458.0,68.82281,
S60,2014/04/01,2 PM,17.975054,3596.0,68.3455,
S60,2014/04/01,2:30 PM,17.406853,3500.0,69.141945,
S60,2014/04/01,3 PM,19.438465,3940.0,68.909134,
S60,2014/04/01,3:30 PM,19.149654,3912.0,69.49082,
S60,2014/04/01,4 PM,20.107086,4096.0,70.235664,
S60,2014/04/01,4:30 PM,19.603697,4020.0,69.86775,
S60,2014/04/01,5 PM,20.376497,4170.0,69.95047,
S60,2014/04/01,5:30 PM,19.923157,4168.0,70.86746,
