sensor,date,time,Density,Flow,Speed
S60,01/04/2014,12:06 am,3.4607313,640,67.33962
S60,01/04/2014,12:12 am,4.323776,760,67.22903
S60,01/04/2014,12:18 am,3.6582787,630,65.38174
S60,01/04/2014,12:24 am,3.7731135,640,68.18264
S60,01/04/2014,12:30 am,2.4161658,490,79.257065
S60,01/04/2014,12:36 am,2.2526324,370,65.10528
S60,01/04/2014,12:42 am,3.1843212,600,67.20909
S60,01/04/2014,12:48 am,2.737836,500,71.20682
S60,01/04/2014,12:54 am,3.2117345,530,62.511677
S60,01/04/2014,1:00 am,2.9409482,480,76.68888
S60,01/04/2014,1:06 am,2.8599188,450,61.333862
S60,01/04/2014,1:12 am,2.4750853,360,55.619873
S60,01/04/2014,1:18 am,3.1260984,430,62.323467
S60,01/04/2014,1:24 am,1.859754,350,64.19939
S60,01/04/2014,1:30 am,2.63142,440,63.14479
S60,01/04/2014,1:36 am,3.3929522,500,63.887333
S60,01/04/2014,1:42 am,1.9562302,290,60.73828
S60,01/04/2014,1:48 am,1.944022,330,68.560844
S60,01/04/2014,1:54 am,3.3537853,450,53.589024
S60,01/04/2014,2:00 am,2.8188133,410,62.303104
S60,01/04/2014,2:06 am,1.7652289,250,63.18497
S60,01/04/2014,2:12 am,2.2676492,350,69.3039
S60,01/04/2014,2:18 am,3.3492944,430,55.427284
S60,01/04/2014,2:24 am,2.2928789,310,60.26434
S60,01/04/2014,2:30 am,1.7409897,270,58.511135
S60,01/04/2014,2:36 am,1.6018032,240,64.71127
S60,01/04/2014,2:42 am,1.3064644,240,70.091064
S60,01/04/2014,2:48 am,2.3706892,260,49.860416
S60,01/04/2014,2:54 am,1.548482,210,59.800694
S60,01/04/2014,3:00 am,2.9336147,380,55.61173
S60,01/04/2014,3:06 am,1.7904711,240,57.9257
S60,01/04/2014,3:12 am,2.525191,320,52.748615
S60,01/04/2014,3:18 am,1.9716789,250,55.360806
S60,01/04/2014,3:24 am,1.4240192,240,71.035355
S60,01/04/2014,3:30 am,1.8128413,270,63.82385
S60,01/04/2014,3:36 am,1.4134961,220,66.727425
S60,01/04/2014,3:42 am,2.6603096,370,57.015457
S60,01/04/2014,3:48 am,1.8816361,330,64.34359
S60,01/04/2014,3:54 am,3.00922,400,58.503666
S60,01/04/2014,4:00 am,2.5430214,310,58.222004
S60,01/04/2014,4:06 am,2.4892342,370,57.155655
S60,01/04/2014,4:12 am,2.5394347,310,52.54955
S60,01/04/2014,4:18 am,2.1001027,360,63.985306
S60,01/04/2014,4:24 am,2.831228,440,59.719864
S60,01/04/2014,4:30 am,3.103357,450,60.054592
S60,01/04/2014,4:36 am,2.6149747,420,59.80768
S60,01/04/2014,4:42 am,3.5089886,540,58.527573
S60,01/04/2014,4:48 am,4.7256217,780,59.706738
S60,01/04/2014,4:54 am,4.8463025,750,58.85796
S60,01/04/2014,5:00 am,3.257665,590,64.860435
S60,01/04/2014,5:06 am,4.7045836,790,62.91557
S60,01/04/2014,5:12 am,3.6011493,730,75.53295
S60,01/04/2014,5:18 am,4.5585093,890,68.89794
S60,01/04/2014,5:24 am,5.529285,1150,72.67912
S60,01/04/2014,5:30 am,8.084561,1630,71.90436
S60,01/04/2014,5:36 am,9.135348,1960,73.035835
S60,01/04/2014,5:42 am,11.560344,2430,72.28926
