date ,time ,S60,S124,S1816,S60f,S1816f
01/01/2013,12:30 am,4.2118816,3.1160152,6.763332,950,1486
01/01/2013,1:00 am,7.322565,5.539267,11.034446,1626,2410
01/01/2013,1:30 am,6.460262,5.4313555,10.012775,1444,2244
01/01/2013,2:00 am,4.9443808,4.245676,8.974443,1104,1978
01/01/2013,2:30 am,4.6692576,3.7233863,7.9116664,1054,1764
01/01/2013,3:00 am,3.733013,3.3273377,6.411668,852,1438
01/01/2013,3:30 am,2.735985,2.5271971,5.139444,628,1118
01/01/2013,4:00 am,1.8872178,1.887144,4.1555552,426,942
01/01/2013,4:30 am,1.7852579,1.4266051,2.7933338,396,622
01/01/2013,5:00 am,1.4553981,1.0826669,2.3133328,332,508
01/01/2013,5:30 am,1.4450047,1.2396736,2.5433335,310,554
01/01/2013,6:00 am,1.9493196,1.3220582,2.4677775,434,560
01/01/2013,6:30 am,2.2762487,1.3187438,3.0981817,528,642
01/01/2013,7:00 am,2.872628,1.6477071,3.5872226,664,784
01/01/2013,7:30 am,2.449062,1.3448359,3.1183336,552,688
01/01/2013,8:00 am,3.581529,2.2189145,4.217222,822,966
01/01/2013,8:30 am,3.6394703,1.9650098,4.361111,836,1014
01/01/2013,9:00 am,4.5309324,2.1851654,5.5649996,1080,1284
01/01/2013,9:30 am,5.4287076,2.7191474,6.346667,1254,1458
01/01/2013,10:00 am,5.8684344,4.0977993,7.625556,1408,1778
01/01/2013,10:30 am,6.9269795,3.987451,9.562777,1646,2204
01/01/2013,11:00 am,7.3021483,4.512368,11.5199995,1740,2628
01/01/2013,11:30 am,8.161521,5.276459,13.085551,1896,2958
01/01/2013,Noon,8.890812,5.9003024,14.773889,2104,3322
01/01/2013,12:30 pm,9.3425045,6.5194526,15.903888,2182,3590
01/01/2013,1:00 pm,10.0899,7.1960506,15.818336,2338,3556
01/01/2013,1:30 pm,9.772618,6.6229563,15.089444,2302,3446
01/01/2013,2:00 pm,10.899321,7.3671117,15.149445,2502,3432
01/01/2013,2:30 pm,10.941789,7.605931,15.859445,2520,3564
01/01/2013,3:00 pm,11.691934,8.195241,16.456663,2684,3660
01/01/2013,3:30 pm,11.269453,7.654155,15.943337,2570,3590
01/01/2013,4:00 pm,10.784075,8.445006,15.71889,2470,3522
01/01/2013,4:30 pm,11.194015,8.001337,14.24222,2552,3148
01/01/2013,5:00 pm,10.3764,7.5813165,13.9411125,2310,3058
01/01/2013,5:30 pm,10.934199,7.7456837,12.91582,2412,2818
01/01/2013,6:00 pm,10.292052,7.523845,13.003336,2244,2812
01/01/2013,6:30 pm,10.038837,6.695352,12.319444,2216,2698
01/01/2013,7:00 pm,10.656886,6.404437,11.305555,2362,2534
01/01/2013,7:30 pm,8.61931,6.2486706,10.552222,1928,2314
01/01/2013,8:00 pm,7.732848,5.2799044,10.731112,1738,2380
01/01/2013,8:30 pm,6.918683,4.868416,9.406111,1558,2060
01/01/2013,9:00 pm,5.72412,4.215546,9.083888,1294,2016
01/01/2013,9:30 pm,5.9128904,3.749582,8.151666,1368,1810
01/01/2013,10:00 pm,6.014049,3.8652322,7.5827775,1356,1692
01/01/2013,10:30 pm,5.170615,3.809728,7.0244446,1142,1552
01/01/2013,11:00 pm,4.4452457,2.9509559,6.632777,984,1452
01/01/2013,11:30 pm,3.280261,2.7107544,4.6650004,742,1068
01/01/2013,Midnight,2.47327,2.773115,4.3033347,544,1000
02/01/2013,12:30 am,2.1286108,1.9840837,3.398334,470,750
02/01/2013,1:00 am,1.3843706,1.4305669,2.3627782,302,516
02/01/2013,1:30 am,1.1162857,1.103249,2.2827775,222,480
02/01/2013,2:00 am,1.0193971,1.0891585,2.0472224,206,428
02/01/2013,2:30 am,0.7768056,0.9031054,1.8622221,164,380
02/01/2013,3:00 am,0.9943617,0.64005744,1.5988889,196,338
02/01/2013,3:30 am,0.7504767,0.5490009,1.4488888,138,294
02/01/2013,4:00 am,1.2526577,0.73751426,1.8276834,246,370
02/01/2013,4:30 am,1.5202115,0.87918633,2.3494442,288,456
02/01/2013,5:00 am,2.2673166,1.5765566,4.1172223,478,834
02/01/2013,5:30 am,4.695075,2.1346307,6.5116663,1028,1372
02/01/2013,6:00 am,9.720773,3.9264472,9.937778,2174,2110
02/01/2013,6:30 am,13.674454,5.1640124,16.058336,2946,3092
02/01/2013,7:00 am,22.593296,7.207617,21.418894,4576,4386
02/01/2013,7:30 am,27.177076,8.027308,24.851109,5196,4928
02/01/2013,8:00 am,29.416674,9.038484,29.821661,5106,5998
02/01/2013,8:30 am,27.365551,7.8309164,26.133892,4572,5084
02/01/2013,9:00 am,40.95471,7.414386,26.182219,4344,5124
02/01/2013,9:30 am,26.62244,7.4488235,22.90056,3788,4506
02/01/2013,10:00 am,18.781313,10.609509,22.50333,3476,4320
02/01/2013,10:30 am,15.331897,13.36023,20.295904,2932,3844
02/01/2013,11:00 am,15.965991,6.7596807,23.366108,3004,4392
02/01/2013,11:30 am,15.341596,8.715765,22.54111,2814,4310
02/01/2013,Noon,14.940908,8.562756,23.928335,2950,4604
02/01/2013,12:30 pm,15.862224,8.289383,23.062777,2878,4640
02/01/2013,1:00 pm,17.343193,8.524271,23.44,3244,4676
02/01/2013,1:30 pm,17.852474,9.371994,24.31055,3056,4772
02/01/2013,2:00 pm,19.229315,9.851252,25.315557,3488,5074
02/01/2013,2:30 pm,19.13645,11.074514,26.598888,3498,5298
02/01/2013,3:00 pm,18.887882,12.061844,29.505001,3626,5762
02/01/2013,3:30 pm,19.378723,14.865142,33.21611,3614,5924
02/01/2013,4:00 pm,21.751356,15.817446,69.350555,3860,3928
02/01/2013,4:30 pm,22.526339,16.980322,75.884445,3756,3874
02/01/2013,5:00 pm,66.84601,16.197752,76.58833,3174,3924
02/01/2013,5:30 pm,28.206196,17.743406,76.97778,3370,3892
02/01/2013,6:00 pm,20.761116,15.730928,70.36445,3360,4256
02/01/2013,6:30 pm,16.723656,12.900272,24.965,3036,4946
02/01/2013,7:00 pm,15.091585,8.797076,21.38,2950,4376
